Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,251.22999572753906,251.2899932861328,246.9600067138672,247.39999389648438,246.92727661132812,23213300
2021-06-02,248.1300048828125,249.27000427246094,245.83999633789062,247.3000030517578,246.8274688720703,19406700
2021-06-03,245.22000122070312,246.33999633789062,243.0,245.7100067138672,245.2405242919922,25307700
2021-06-04,247.75999450683594,251.64999389648438,247.50999450683594,250.7899932861328,250.310791015625,25281100
2021-06-07,249.97999572753906,254.08999633789062,249.80999755859375,253.80999755859375,253.3250274658203,23079200
2021-06-08,255.16000366210938,256.010009765625,252.50999450683594,252.57000732421875,252.08741760253906,22455000
2021-06-09,253.80999755859375,255.52999877929688,253.2100067138672,253.58999633789062,253.10545349121094,17937600
2021-06-10,254.2899932861328,257.4599914550781,253.6699981689453,257.239990234375,256.74847412109375,24563600
2021-06-11,257.989990234375,258.489990234375,256.6099853515625,257.8900146484375,257.3972473144531,18999700
2021-06-14,257.8999938964844,259.95001220703125,256.79998779296875,259.8900146484375,259.3934326171875,19150500
2021-06-15,259.7699890136719,259.989990234375,257.67999267578125,258.3599853515625,257.8663330078125,18038900
2021-06-16,259.3999938964844,260.5799865722656,254.4199981689453,257.3800048828125,256.8882141113281,27220000
2021-06-17,256.07000732421875,261.75,256.010009765625,260.8999938964844,260.4014892578125,27565500
2021-06-18,259.6300048828125,262.29998779296875,258.75,259.42999267578125,258.9342956542969,37202200
2021-06-21,259.82000732421875,263.5199890136719,257.9200134277344,262.6300048828125,262.128173828125,26696100
2021-06-22,262.7200012207031,265.7900085449219,262.3999938964844,265.510009765625,265.002685546875,24694100
2021-06-23,265.989990234375,266.8299865722656,264.42999267578125,265.2699890136719,264.76312255859375,19518700
2021-06-24,266.1600036621094,267.8500061035156,265.4700012207031,266.69000244140625,266.180419921875,21446900
2021-06-25,266.2300109863281,267.25,264.760009765625,265.0199890136719,264.51361083984375,25611100
2021-06-28,266.19000244140625,268.8999938964844,265.9100036621094,268.7200012207031,268.20654296875,19590000
2021-06-29,268.8699951171875,271.6499938964844,267.9800109863281,271.3999938964844,270.88140869140625,19937800
2021-06-30,270.69000244140625,271.3599853515625,269.6000061035156,270.8999938964844,270.38238525390625,21656500
2021-07-01,269.6099853515625,271.8399963378906,269.6000061035156,271.6000061035156,271.0810546875,16725300
2021-07-02,272.82000732421875,278.0,272.5,277.6499938964844,277.1194763183594,26458000
2021-07-06,278.0299987792969,279.3699951171875,274.29998779296875,277.6600036621094,277.12945556640625,31565600
2021-07-07,279.3999938964844,280.69000244140625,277.1499938964844,279.92999267578125,279.3951110839844,23260000
2021-07-08,276.8999938964844,278.7300109863281,274.8699951171875,277.4200134277344,276.8899230957031,24618600
